CustomerId,Age,City,State,Name
1,34,Albuquerque,New Mexico,Customer 1
2,49,St. Louis,Missouri,Customer 2
3,58,Scottsdale,Arizona,Customer 3
4,41,Mesa,Arizona,Customer 4
5,57,Atlanta,Georgia,Customer 5
6,54,Sacramento,California,Customer 6
7,25,Miami,Florida,Customer 7
8,36,Fort Worth,Texas,Customer 8
9,56,Durham,North Carolina,Customer 9
10,49,Tucson,Arizona,Customer 10
11,48,Austin,Texas,Customer 11
12,43,Irvine,California,Customer 12
13,58,Honolulu,Hawaii,Customer 13
14,35,Santa Ana,California,Customer 14
15,55,Saint Paul,Minnesota,Customer 15
16,56,Irvine,California,Customer 16
17,48,San Diego,California,Customer 17
18,60,North Las Vegas,Nevada,Customer 18
19,50,Louisville,Kentucky,Customer 19
20,32,Raleigh,North Carolina,Customer 20
21,32,Indianapolis,Indiana,Customer 21
22,22,Greensboro,North Carolina,Customer 22
24,25,Chandler,Arizona,Customer 24
25,44,Fremont,California,Customer 25
26,28,Philadelphia[e],Pennsylvania,Customer 26
27,50,Irving,Texas,Customer 27
28,45,Chula Vista,California,Customer 28
29,35,Durham,North Carolina,Customer 29
30,27,Buffalo,New York,Customer 30
31,59,Norfolk,Virginia,Customer 31
32,36,Orlando,Florida,Customer 32
33,66,Sacramento,California,Customer 33
34,55,Scottsdale,Arizona,Customer 34
35,37,Minneapolis,Minnesota,Customer 35
36,43,Wichita,Kansas,Customer 36
37,63,Louisville,Kentucky,Customer 37
38,30,Chesapeake,Virginia,Customer 38
39,30,Indianapolis,Indiana,Customer 39
40,51,Corpus Christi,Texas,Customer 40
41,58,Virginia Beach[m],Virginia,Customer 41
42,40,Fresno,California,Customer 42
43,23,Tulsa,Oklahoma,Customer 43
44,33,Houston,Texas,Customer 44
45,20,Anchorage,Alaska,Customer 45
46,25,Chesapeake,Virginia,Customer 46
47,47,Honolulu,Hawaii,Customer 47
48,66,Dallas,Texas,Customer 48
49,29,Jersey City,New Jersey,Customer 49
50,66,Milwaukee,Wisconsin,Customer 50
51,66,Lincoln,Nebraska,Customer 51
52,60,Lubbock,Texas,Customer 52
53,29,St. Petersburg,Florida,Customer 53
54,29,Omaha,Nebraska,Customer 54
55,54,Greensboro,North Carolina,Customer 55
56,37,Anchorage,Alaska,Customer 56
57,29,Austin,Texas,Customer 57
58,49,Nashville,Tennessee,Customer 58
59,38,Bakersfield,California,Customer 59
60,37,Richmond,Virginia,Customer 60
61,31,Memphis,Tennessee,Customer 61
62,53,Baltimore,Maryland,Customer 62
63,66,Boise,Idaho,Customer 63
64,51,Toledo,Ohio,Customer 64
65,59,Albuquerque,New Mexico,Customer 65
66,39,Chandler,Arizona,Customer 66
67,42,Baton Rouge,Louisiana,Customer 67
68,34,Sacramento,California,Customer 68
69,68,Oakland,California,Customer 69
70,58,Jacksonville,Florida,Customer 70
71,60,Wichita,Kansas,Customer 71
72,48,Anaheim,California,Customer 72
73,27,Portland,Oregon,Customer 73
74,70,Los Angeles,California,Customer 74
75,52,Spokane,Washington,Customer 75
76,22,Gilbert,Arizona,Customer 76
77,69,Charlotte,North Carolina,Customer 77
78,64,Durham,North Carolina,Customer 78
79,30,Charlotte,North Carolina,Customer 79
80,39,El Paso,Texas,Customer 80
81,40,Wichita,Kansas,Customer 81
82,64,Houston,Texas,Customer 82
83,52,Omaha,Nebraska,Customer 83
84,45,Houston,Texas,Customer 84
85,48,Richmond,Virginia,Customer 85
86,67,Reno,Nevada,Customer 86
87,22,Anaheim,California,Customer 87
88,24,Buffalo,New York,Customer 88
89,39,Washington,District of Columbia,Customer 89
90,48,Spokane,Washington,Customer 90
91,29,Winston–Salem,North Carolina,Customer 91
92,42,Fremont,California,Customer 92
93,45,Stockton,California,Customer 93
94,21,Atlanta,Georgia,Customer 94
95,47,Cleveland,Ohio,Customer 95
96,66,Jacksonville,Florida,Customer 96
97,58,Gilbert,Arizona,Customer 97
98,70,Chesapeake,Virginia,Customer 98
99,58,Atlanta,Georgia,Customer 99
100,39,Lincoln,Nebraska,Customer 100
101,33,Corpus Christi,Texas,Customer 101
102,34,Las Vegas,Nevada,Customer 102
103,29,Irvine,California,Customer 103
104,35,Orlando,Florida,Customer 104
105,37,Baltimore,Maryland,Customer 105
106,30,Orlando,Florida,Customer 106
107,30,Fort Worth,Texas,Customer 107
108,28,Phoenix,Arizona,Customer 108
109,36,Laredo,Texas,Customer 109
110,37,Baltimore,Maryland,Customer 110
111,28,Honolulu,Hawaii,Customer 111
112,39,Aurora,Colorado,Customer 112
113,40,Colorado Springs,Colorado,Customer 113
114,35,Bakersfield,California,Customer 114
115,34,Chesapeake,Virginia,Customer 115
116,29,Mesa,Arizona,Customer 116
117,30,Boston,Massachusetts,Customer 117
118,37,Honolulu,Hawaii,Customer 118
119,34,Lubbock,Texas,Customer 119
120,26,Glendale,Arizona,Customer 120
121,29,Washington,District of Columbia,Customer 121
122,39,St. Louis,Missouri,Customer 122
123,37,Orlando,Florida,Customer 123
124,25,Boise,Idaho,Customer 124
125,34,Stockton,California,Customer 125
126,31,Fort Worth,Texas,Customer 126
127,39,Winston–Salem,North Carolina,Customer 127
128,26,Columbus,Ohio,Customer 128
129,40,San Antonio,Texas,Customer 129
130,37,St. Louis,Missouri,Customer 130
131,30,Chesapeake,Virginia,Customer 131
132,33,Fresno,California,Customer 132
133,28,San Francisco,California,Customer 133
134,28,Saint Paul,Minnesota,Customer 134
135,37,Anchorage,Alaska,Customer 135
136,30,Anchorage,Alaska,Customer 136
137,39,Toledo,Ohio,Customer 137
138,26,Detroit,Michigan,Customer 138
139,39,Minneapolis,Minnesota,Customer 139
140,33,Minneapolis,Minnesota,Customer 140
141,39,New Orleans,Louisiana,Customer 141
142,32,Phoenix,Arizona,Customer 142
143,40,Mesa,Arizona,Customer 143
144,36,San Jose,California,Customer 144
145,39,Stockton,California,Customer 145
146,28,Tampa,Florida,Customer 146
147,27,Columbus,Ohio,Customer 147
148,39,Raleigh,North Carolina,Customer 148
149,31,Aurora,Colorado,Customer 149
150,34,Gilbert,Arizona,Customer 150
151,37,Lincoln,Nebraska,Customer 151
152,34,Las Vegas,Nevada,Customer 152
153,30,Tampa,Florida,Customer 153
154,30,San Francisco,California,Customer 154
155,38,Cincinnati,Ohio,Customer 155
156,34,Houston,Texas,Customer 156
157,34,Richmond,Virginia,Customer 157
158,32,Henderson,Nevada,Customer 158
159,26,Washington,District of Columbia,Customer 159
160,31,Chesapeake,Virginia,Customer 160
161,29,Lexington,Kentucky,Customer 161
162,28,Wichita,Kansas,Customer 162
163,29,Philadelphia[e],Pennsylvania,Customer 163
164,35,Gilbert,Arizona,Customer 164
165,35,Tulsa,Oklahoma,Customer 165
166,35,Miami,Florida,Customer 166
167,33,Arlington,Texas,Customer 167
168,33,San Francisco,California,Customer 168
169,26,Lexington,Kentucky,Customer 169
170,38,New York,New York,Customer 170
171,34,Corpus Christi,Texas,Customer 171
172,26,Philadelphia[e],Pennsylvania,Customer 172
173,38,Irvine,California,Customer 173
174,39,Orlando,Florida,Customer 174
175,26,Cincinnati,Ohio,Customer 175
176,31,Atlanta,Georgia,Customer 176
177,29,Henderson,Nevada,Customer 177
178,29,Wichita,Kansas,Customer 178
179,32,Wichita,Kansas,Customer 179
180,39,Lincoln,Nebraska,Customer 180
181,29,Durham,North Carolina,Customer 181
182,35,Greensboro,North Carolina,Customer 182
